id,username,password,situacaoentidade,contato_id,bateponto,cargahoraria,departamento,semintervaloalmoco
1,Admin,GMSk53T7hwqYq5,1,130,False,00:00:00,0,False
2,luana,GMSk53T7hwqYq6,1,7,True,08:00:00,0,False
3,cristiane,GMSk53T7hwqYq7,1,12,True,08:00:00,256,False
4,leticia,GMSk53T7hwqYq8,1,16,True,08:00:00,2048,False
5,enderson,GMSk53T7hwqYq9,1,18,True,08:00:00,256,False
6,rubia,GMSk53T7hwqYq10,1,11,True,08:00:00,512,False
7,raissa,GMSk53T7hwqYq11,2,17,False,06:00:00,0,False
8,bruno,GMSk53T7hwqYq12,1,19,False,00:00:00,0,False
9,sara,GMSk53T7hwqYq13,1,10,True,08:00:00,2048,False
10,tamires,GMSk53T7hwqYq14,1,9,True,08:00:00,0,False
11,marcos,GMSk53T7hwqYq15,1,15,True,08:00:00,1024,False
12,joao,GMSk53T7hwqYq16,2,13,True,08:00:00,0,False
13,hugo,GMSk53T7hwqYq17,1,14,True,08:00:00,4,False
14,aline,GMSk53T7hwqYq18,2,20,True,00:00:00,0,False
15,junior,GMSk53T7hwqYq19,1,342,False,00:00:00,0,False
16,test,GMSk53T7hwqYq20,2,130,False,08:00:00,0,False
17,eneida,GMSk53T7hwqYq21,2,102,False,00:00:00,0,False
31,francisco,GMSk53T7hwqYq22,2,3406,False,00:00:00,0,False
32,janaina,GMSk53T7hwqYq23,2,3439,True,08:00:00,0,False
33,alinec,GMSk53T7hwqYq24,1,6,True,08:00:00,0,False
34,sara.oliveira,GMSk53T7hwqYq25,2,3484,True,08:00:00,0,False
35,carin,GMSk53T7hwqYq26,2,261,False,00:00:00,0,False
36,erika.amaral,GMSk53T7hwqYq27,2,104,False,00:00:00,0,False
38,carla,GMSk53T7hwqYq28,1,3533,True,08:00:00,4,False
39,christiane.rodrigues,GMSk53T7hwqYq29,2,3489,False,00:00:00,0,False
40,juniorbv,GMSk53T7hwqYq30,2,342,False,00:00:00,0,False
41,Simone dos Santos,GMSk53T7hwqYq31,2,3432,False,00:00:00,0,False
42,gilcidete,GMSk53T7hwqYq32,2,3552,True,08:00:00,0,False
43,samanta,GMSk53T7hwqYq33,2,3564,True,06:00:00,0,False
44,alexandra,GMSk53T7hwqYq34,2,3579,True,06:00:00,1,False
45,wendy,GMSk53T7hwqYq35,2,3581,True,04:00:00,1,False
46,michelle,GMSk53T7hwqYq36,2,3582,True,04:00:00,1,False
47,beatriz,GMSk53T7hwqYq37,1,3603,True,08:00:00,1,False
48,alessandra,GMSk53T7hwqYq38,2,3644,True,08:00:00,0,False
49,elizangela,GMSk53T7hwqYq39,2,3666,False,00:00:00,0,False
50,gabriely,GMSk53T7hwqYq40,1,3717,True,08:00:00,0,False
51,adrieli,GMSk53T7hwqYq41,2,3719,True,08:00:00,0,False
52,Adrieli-2,GMSk53T7hwqYq42,2,3719,True,08:00:00,0,False
53,GBV,GMSk53T7hwqYq43,1,3752,False,00:00:00,0,False
54,Geiza,GMSk53T7hwqYq44,1,3772,False,00:00:00,7,False
55,caio,GMSk53T7hwqYq45,1,3799,False,00:00:00,7,False
56,carol,GMSk53T7hwqYq46,2,3800,True,00:00:00,0,False
57,Carol-2,GMSk53T7hwqYq47,1,3800,True,08:00:00,0,False
58,Adryely,GMSk53T7hwqYq48,1,3808,True,08:00:00,0,False
59,Gabriela,GMSk53T7hwqYq49,2,3810,False,00:00:00,0,False
60,Labooptica,GMSk53T7hwqYq50,1,3666,False,00:00:00,0,False
61,lydia,GMSk53T7hwqYq51,1,3847,True,06:00:00,0,False
62,Aryene,GMSk53T7hwqYq52,1,3844,True,08:00:00,0,False
63,Labooptica-2,GMSk53T7hwqYq53,2,3855,False,00:00:00,1,False
64,jair,GMSk53T7hwqYq54,1,3912,True,08:00:00,0,False
